y,x,z
49.66621,-93.74006,-2.59
49.66617,-93.74007,-2.68
49.66613,-93.74006,-2.66
49.66608,-93.74007,-2.53
49.66603,-93.74006,-2.62
49.66599,-93.74007,-2.51
49.68846,-93.68991,-1.46
49.68842,-93.68997,-1.48
49.68863,-93.68982,-1.46
49.68863,-93.68975,-1.41
49.68859,-93.68975,-2.49
49.68855,-93.68977,-2.61
49.68855,-93.68969,-3.04
49.68858,-93.68963,-3.21
49.68859,-93.68956,-3.52
49.6886,-93.6895,-3.97
49.68862,-93.68944,-4.26
49.68864,-93.68937,-4.75
49.68866,-93.6893,-4.49
49.68868,-93.68925,-4.07
49.68871,-93.68919,-3.65
49.68873,-93.68913,-3.8
49.68877,-93.68904,-4.03
49.68886,-93.68883,-3.86
49.68888,-93.68876,-3.35
49.6889,-93.6887,-3.16
49.68891,-93.68863,-3.4
49.68894,-93.68857,-3.23
49.68896,-93.68851,-2.81
49.68898,-93.68846,-2.64
49.689,-93.68819,-2.42
49.68898,-93.68813,-2.05
49.68891,-93.68788,-1.83
49.68885,-93.68765,-2.21
49.68879,-93.68755,-2.3
49.68874,-93.68755,-2.19
49.68871,-93.68762,-2.76
49.68873,-93.68768,-2.78
49.68878,-93.6877,-2.45
49.68882,-93.68773,-2.32
49.68883,-93.68892,-3.73
49.68879,-93.68895,-3.67
49.68875,-93.68894,-4.24
49.68865,-93.68881,-6.09
49.68853,-93.68863,-7.46
49.68848,-93.68853,-7.82
49.68846,-93.68834,-7.44
49.68847,-93.68827,-7.06
49.6885,-93.68821,-6.75
49.68855,-93.68818,-6.3
49.68859,-93.68821,-5.95
49.68862,-93.68827,-5.86
49.68864,-93.68833,-5.74
49.68866,-93.68841,-5.61
49.68868,-93.68847,-5.34
49.6887,-93.68852,-5.15
49.68872,-93.68858,-5.02
49.68874,-93.68864,-4.49
49.68877,-93.68869,-4.56
49.68879,-93.68876,-3.86
49.68878,-93.68882,-3.92
49.68875,-93.68887,-3.69
49.6887,-93.68887,-5.42
49.68867,-93.68883,-6.05
49.68865,-93.68877,-6.35
49.68862,-93.68872,-6.56
49.68861,-93.68866,-6.58
49.68862,-93.68858,-6.5
49.68862,-93.68851,-6.35
49.68862,-93.68843,-6.03
49.68862,-93.68836,-6.07
49.68864,-93.68829,-5.8
49.68865,-93.68823,-5.31
49.68865,-93.68816,-5.91
49.68866,-93.6881,-4.18
49.68865,-93.68804,-4.68
49.68865,-93.68797,-4.11
49.68863,-93.68791,-3.54
49.68863,-93.68784,-5.12
49.68862,-93.68778,-4.53
49.6886,-93.68771,-4.11
49.6886,-93.68765,-3.25
49.68859,-93.68759,-3.99
49.68858,-93.68752,-2.34
49.68856,-93.68744,-1.58
49.68853,-93.68739,-1.1
49.6885,-93.68735,-1.31
49.68841,-93.68726,-2.02
49.68837,-93.6873,-2.61
49.68837,-93.68738,-3.5
49.68838,-93.68745,-3.42
49.6884,-93.68752,-3.37
49.68842,-93.6876,-3.52
49.68844,-93.68766,-4.87
49.68845,-93.68773,-5.21
49.68846,-93.6878,-5.57
49.68848,-93.68787,-5.74
49.68847,-93.68794,-6.01
49.68848,-93.68801,-6.35
49.68848,-93.68808,-6.54
49.68849,-93.68816,-6.68
49.68849,-93.68824,-6.71
49.68851,-93.68832,-6.9
49.68852,-93.68839,-6.85
49.68853,-93.68845,-7
49.68853,-93.68851,-6.98
49.68855,-93.68858,-7.06
49.68856,-93.68864,-7.09
49.68856,-93.68871,-7.13
49.68856,-93.68877,-7.02
49.68856,-93.68885,-7.04
49.68857,-93.68893,-7.08
49.68856,-93.68901,-6.9
49.68857,-93.68907,-6.79
49.68858,-93.68913,-6.5
49.6886,-93.6892,-5.95
49.68862,-93.68927,-5.38
49.68864,-93.68933,-4.83
49.68865,-93.68939,-4.17
49.68865,-93.68947,-3.69
49.68864,-93.68953,-2.72
49.68862,-93.68959,-2.45
49.68858,-93.68962,-3.18
49.68855,-93.68956,-3.99
49.68852,-93.6895,-5.17
49.6885,-93.68944,-6.12
49.68846,-93.68938,-6.58
49.68842,-93.68935,-7.55
49.68838,-93.68929,-8.16
49.68835,-93.68923,-8.96
49.68834,-93.68917,-9.4
49.68833,-93.68909,-9.68
49.68833,-93.68901,-10
49.68833,-93.68893,-10.16
49.68832,-93.68885,-10.16
49.68831,-93.68878,-10.21
49.68831,-93.68872,-10.06
49.68831,-93.68864,-9.85
49.68831,-93.68856,-9.62
49.68831,-93.68848,-9.32
49.68831,-93.68839,-9.07
49.68831,-93.68832,-8.75
49.6883,-93.68825,-8.54
49.68828,-93.68819,-8.33
49.68828,-93.68811,-7.89
49.68827,-93.68802,-7.49
49.68826,-93.68796,-7.34
49.68826,-93.68788,-7.17
49.68825,-93.68782,-6.79
49.68824,-93.68775,-6.6
49.68824,-93.68767,-6.31
49.68823,-93.68759,-5.97
49.68822,-93.68752,-5.67
49.68821,-93.68744,-3.54
49.68821,-93.68736,-3.37
49.6882,-93.6873,-5.1
49.6882,-93.68717,-3.56
49.68819,-93.68711,-2.62
49.68816,-93.68706,-2.45
49.68812,-93.68703,-2.34
49.68807,-93.68702,-2.36
49.68803,-93.68703,-2.43
49.68799,-93.68706,-2.55
49.68797,-93.68711,-3.04
49.68798,-93.68718,-3.77
49.688,-93.68724,-3.9
49.68803,-93.68729,-3.59
49.68807,-93.68734,-3.84
49.6881,-93.68739,-5.23
49.68812,-93.68745,-5.78
49.68813,-93.68752,-6.03
49.68814,-93.68758,-6.22
49.68816,-93.68764,-6.45
49.68817,-93.6877,-6.77
49.68814,-93.68777,-7.02
49.68812,-93.68782,-7.25
49.6881,-93.68788,-7.66
49.68809,-93.68794,-8.35
49.6881,-93.688,-8.27
49.68811,-93.68807,-8.81
49.68813,-93.68814,-8.88
49.68814,-93.68821,-9.11
49.68816,-93.68827,-9.45
49.68816,-93.68833,-9.81
49.68817,-93.68841,-10.19
49.68818,-93.68847,-10.46
49.68819,-93.68854,-10.35
49.6882,-93.6886,-10.38
49.68821,-93.68867,-10.5
49.68823,-93.68874,-10.44
49.68824,-93.68881,-10.4
49.68824,-93.68887,-10.48
49.68824,-93.68895,-10.5
49.68824,-93.68903,-10.4
49.68824,-93.6891,-10.4
49.68825,-93.68916,-10.35
49.68825,-93.68923,-9.98
49.68825,-93.6893,-9.45
49.68826,-93.68937,-8.92
49.68826,-93.68944,-8.39
49.68826,-93.68951,-7.8
49.68827,-93.68957,-7.34
49.68827,-93.68964,-7.04
49.68827,-93.68973,-6.28
49.68828,-93.68981,-5.15
49.68829,-93.68987,-4.07
49.68831,-93.68994,-3.27
49.68832,-93.69,-2.66
49.68832,-93.69008,-2.3
49.6883,-93.69013,-2.28
49.68827,-93.69017,-2.26
49.68823,-93.69019,-2.3
49.68818,-93.69019,-2.66
49.68813,-93.69019,-2.89
49.68809,-93.69016,-2.97
49.68807,-93.69009,-4.09
49.68807,-93.69002,-5.27
49.68807,-93.68995,-5.95
49.68807,-93.68989,-6.35
49.68807,-93.68982,-6.98
49.68806,-93.68975,-7.63
49.68805,-93.68969,-8.05
49.68804,-93.68963,-8.6
49.68803,-93.68956,-9.09
49.68803,-93.68949,-9.45
49.68803,-93.68943,-9.64
49.68803,-93.68936,-9.87
49.68804,-93.68929,-10.04
49.68804,-93.68922,-10.35
49.68803,-93.68916,-10.52
49.68803,-93.6891,-10.56
49.68802,-93.68903,-10.48
49.68801,-93.68896,-10.59
49.688,-93.68889,-10.5
49.68799,-93.68883,-10.52
49.68798,-93.68876,-10.4
49.68798,-93.68868,-10.5
49.68797,-93.68862,-10.5
49.68798,-93.68855,-10.4
49.68799,-93.68848,-10.23
49.68799,-93.68841,-10.14
49.688,-93.68834,-9.79
49.688,-93.68826,-9.49
49.68799,-93.68819,-9.21
49.68799,-93.68812,-8.96
49.68798,-93.68804,-8.6
49.68797,-93.68797,-8.33
49.68796,-93.6879,-7.91
49.68795,-93.68783,-7.49
49.68795,-93.68777,-7.17
49.68793,-93.6877,-6.9
49.68792,-93.68762,-6.62
49.68791,-93.68756,-6.39
49.6879,-93.68749,-6.09
49.68789,-93.68742,-5.61
49.68788,-93.68735,-4.94
49.68787,-93.68728,-3.52
49.68786,-93.68722,-4.41
49.68785,-93.68715,-2.93
49.68783,-93.68708,-2.42
49.68775,-93.68706,-1.83
49.68767,-93.68708,-1.45
49.68765,-93.68717,-2.21
49.68766,-93.68724,-2.55
49.68767,-93.68731,-2.55
49.68767,-93.68738,-3.92
49.68768,-93.68745,-3.52
49.68768,-93.68753,-5.04
49.68768,-93.68761,-5.82
49.6877,-93.68767,-6.18
49.6877,-93.68775,-6.49
49.68771,-93.68782,-6.85
49.68772,-93.68788,-7.34
49.68773,-93.68797,-7.63
49.68773,-93.68804,-7.91
49.68774,-93.6881,-8.06
49.68774,-93.68817,-8.44
49.68774,-93.68823,-8.5
49.68775,-93.68831,-8.6
49.68776,-93.68837,-8.63
49.68777,-93.68844,-9
49.68778,-93.6885,-9.07
49.68779,-93.68858,-9.34
49.6878,-93.68865,-9.57
49.68781,-93.68871,-9.93
49.68782,-93.68878,-10.14
49.68784,-93.68885,-10.38
49.68785,-93.68892,-10.4
49.68785,-93.68899,-10.48
49.68786,-93.68907,-10.46
49.68787,-93.68914,-10.4
49.68787,-93.68922,-10.52
49.68787,-93.68929,-10.42
49.68787,-93.68938,-10.25
49.68787,-93.68946,-10.23
49.68787,-93.68953,-9.81
49.68786,-93.68959,-9.38
49.68787,-93.68966,-8.81
49.68786,-93.68974,-8.2
49.68787,-93.68982,-7.66
49.68787,-93.6899,-7.3
49.68788,-93.68996,-6.83
49.68788,-93.69003,-6.2
49.68789,-93.69009,-5.71
49.68789,-93.69017,-4.58
49.68791,-93.69023,-3.56
49.68791,-93.6903,-2.95
49.6879,-93.69036,-2.55
49.68788,-93.69043,-2.11
49.68785,-93.69046,-1.92
49.68781,-93.69049,-2.13
49.68776,-93.6905,-2.4
49.68776,-93.69057,-1.98
49.68772,-93.6906,-1.62
49.68769,-93.69054,-2.07
49.68768,-93.69047,-2.66
49.68767,-93.69038,-3.1
49.68767,-93.69028,-3.1
49.68767,-93.69021,-4.07
49.68767,-93.69014,-5.12
49.68766,-93.69007,-5.8
49.68765,-93.69,-6.18
49.68765,-93.68993,-6.45
49.68766,-93.68986,-6.79
49.68767,-93.68979,-7.25
49.68766,-93.68973,-7.53
49.68765,-93.68965,-7.97
49.68763,-93.68959,-8.05
49.6876,-93.68952,-8.33
49.68758,-93.68945,-8.44
49.68757,-93.68938,-8.52
49.68756,-93.68929,-8.58
49.68756,-93.68922,-8.52
49.68757,-93.68915,-8.71
49.68758,-93.68908,-8.58
49.68758,-93.68901,-8.25
49.68758,-93.68893,-8.03
49.68758,-93.68885,-7.74
49.68757,-93.68877,-7.53
49.68757,-93.6887,-7.53
49.68757,-93.68862,-7.34
49.68756,-93.68855,-7.34
49.68756,-93.68848,-7.34
49.68756,-93.68841,-7.25
49.68755,-93.68834,-7.25
49.68755,-93.68827,-7.13
49.68755,-93.6882,-7
49.68755,-93.68811,-6.83
49.68754,-93.68802,-6.52
49.68754,-93.68793,-6.22
49.68754,-93.68786,-5.88
49.68754,-93.68779,-5.42
49.68754,-93.68772,-4.85
49.68753,-93.68765,-4.26
49.68753,-93.68758,-3.46
49.68753,-93.68749,-3.73
49.68753,-93.68742,-2.81
49.68753,-93.68735,-2.47
49.68751,-93.68728,-2.21
49.68743,-93.68726,-0.89
49.68739,-93.6873,-0.65
49.68735,-93.68734,-0.82
49.68732,-93.68738,-0.59
49.68728,-93.68741,-0.49
49.68729,-93.68747,-0.97
49.68733,-93.68751,-1.54
49.68735,-93.68757,-2.28
49.68735,-93.68763,-2.72
49.68736,-93.6877,-2.95
49.68736,-93.68778,-2.72
49.68736,-93.68785,-3.23
49.68736,-93.68792,-4.13
49.68736,-93.688,-4.24
49.68736,-93.68807,-3.46
49.68737,-93.68815,-3.82
49.68737,-93.68823,-3.58
49.68737,-93.68831,-3.97
49.68737,-93.68839,-4.62
49.68738,-93.68845,-4.64
49.68738,-93.68852,-4.89
49.68738,-93.6886,-5
49.68738,-93.68867,-5.1
49.68738,-93.68874,-5.33
49.68739,-93.6888,-5.53
49.68739,-93.68887,-5.71
49.6874,-93.68894,-5.88
49.6874,-93.68902,-6.14
49.6874,-93.68909,-6.43
49.6874,-93.68917,-6.28
49.68741,-93.68924,-6.47
49.68742,-93.6893,-6.5
49.68742,-93.68938,-6.52
49.68742,-93.68946,-6.37
49.68742,-93.68954,-6.2
49.68742,-93.6896,-6.09
49.68742,-93.68967,-5.84
49.68743,-93.68975,-5.72
49.68744,-93.68982,-5.57
49.68746,-93.6899,-5.17
49.68747,-93.68998,-5.08
49.68749,-93.69005,-4.58
49.68752,-93.69011,-4.13
49.68753,-93.69018,-3.52
49.68753,-93.69026,-5.25
49.68754,-93.69034,-3.71
49.68753,-93.69041,-2.74
49.68753,-93.69047,-2.68
49.6875,-93.69054,-2.42
49.68747,-93.6906,-1.9
49.68743,-93.69062,-1.43
49.68741,-93.69056,-1.96
49.68737,-93.69053,-1.83
49.68734,-93.69059,-1.67
49.68731,-93.69064,-1.14
49.68724,-93.69065,-0.76
49.68722,-93.69059,-1.16
49.68721,-93.69046,-1.48
49.68721,-93.69039,-1.81
49.68721,-93.69033,-1.88
49.68721,-93.69026,-2.17
49.68721,-93.69017,-2.36
49.68721,-93.6901,-2.55
49.68721,-93.69002,-2.66
49.68721,-93.68994,-2.24
49.68721,-93.68988,-2.59
49.68721,-93.68981,-3.04
49.68722,-93.68973,-3.99
49.68722,-93.68966,-5.17
49.68723,-93.6896,-5
49.68723,-93.68953,-2.64
49.68723,-93.68945,-4.85
49.68722,-93.68938,-5.06
49.68721,-93.6893,-4.07
49.6872,-93.68922,-4.83
49.68719,-93.68915,-2.78
49.68718,-93.68909,-2.76
49.68718,-93.68902,-3.14
49.68717,-93.68895,-3.16
49.68716,-93.68888,-2.95
49.68715,-93.68882,-2.74
49.68715,-93.68875,-3.1
49.68714,-93.68868,-2.66
49.68714,-93.68861,-2.51
49.68714,-93.68853,-2.34
49.68714,-93.68846,-2.23
49.68714,-93.68838,-1.96
49.68714,-93.6883,-1.86
49.68714,-93.68823,-1.71
49.68714,-93.68814,-1.75
49.68715,-93.68807,-1.75
49.68715,-93.68799,-1.62
49.68715,-93.68792,-1.67
49.68715,-93.68784,-1.45
49.68715,-93.68777,-1.45
49.68715,-93.6877,-1.33
49.6871,-93.68771,-0.91
49.68708,-93.68777,-0.89
49.68705,-93.68783,-0.74
49.68704,-93.6879,-0.76
49.68703,-93.68797,-0.68
49.68703,-93.68805,-0.72
49.68703,-93.68812,-0.74
49.68703,-93.68819,-0.68
49.68703,-93.68827,-1.03
49.68702,-93.68835,-1.08
49.68702,-93.68842,-1.2
49.68702,-93.6885,-1.41
49.68702,-93.68858,-1.48
49.68702,-93.68867,-1.56
49.68701,-93.68874,-1.43
49.68701,-93.68882,-1.67
49.68701,-93.6889,-1.67
49.68701,-93.68898,-1.6
49.68701,-93.68906,-1.69
49.687,-93.68913,-1.9
49.687,-93.68921,-2.05
49.68701,-93.68928,-2.09
49.68701,-93.68935,-2.26
49.68701,-93.68943,-2.42
49.68701,-93.68951,-2.62
49.68701,-93.68958,-2.91
49.68702,-93.68964,-1.94
49.68702,-93.68972,-2.09
49.68703,-93.68978,-2.05
49.68703,-93.68985,-1.98
49.68703,-93.68991,-2.11
49.68703,-93.68999,-1.96
49.68704,-93.69007,-1.64
49.68704,-93.69014,-1.65
49.68704,-93.6902,-1.39
49.68705,-93.69027,-1.41
49.68705,-93.69034,-1.37
49.68706,-93.6904,-1.03
49.68706,-93.69047,-0.48
49.6871,-93.69049,-0.97
49.68712,-93.69044,-1.64
49.6871,-93.69037,-1.62
49.68706,-93.69034,-1.54
49.68703,-93.69029,-1.43
49.68701,-93.69023,-1.39
49.68698,-93.69017,-1.46
49.68697,-93.69009,-1.33
49.68694,-93.69004,-1.5
49.68691,-93.68998,-1.27
49.68689,-93.68993,-1.31
49.68686,-93.68989,-1.24
49.68683,-93.68984,-1.08
49.68683,-93.68976,-1.12
49.68684,-93.68969,-1.08
49.68683,-93.68963,-1.14
49.68681,-93.68956,-0.82
49.68679,-93.68949,-1.27
49.68679,-93.68943,-1.08
49.68677,-93.68937,-1.27
49.68675,-93.68922,-0.86
49.68674,-93.68916,-0.74
49.68675,-93.6891,-0.57
49.68676,-93.68903,-0.7
49.68679,-93.68899,-0.7
