y,x,z
49.68681,-93.68893,-0.7
49.68683,-93.68886,-0.76
49.68683,-93.68879,-0.74
49.68682,-93.68873,-0.78
49.68683,-93.68867,-0.68
49.68683,-93.68868,-0.78
49.68688,-93.68867,-0.99
49.6869,-93.68862,-0.82
49.6869,-93.68855,-0.95
49.6869,-93.68848,-0.87
49.68692,-93.68841,-0.84
49.68694,-93.68835,-0.89
49.68696,-93.68828,-0.89
49.68698,-93.68822,-0.93
49.68701,-93.68814,-0.49
49.68703,-93.68808,-0.8
49.68703,-93.68802,-0.49
49.68705,-93.68795,-0.68
49.68707,-93.68788,-0.95
49.68709,-93.68781,-0.91
49.6871,-93.68775,-1.03
49.68713,-93.6877,-1.07
49.68715,-93.68764,-1.08
49.68719,-93.68759,-1.2
49.68722,-93.68753,-1.26
49.68726,-93.68749,-1.27
49.6873,-93.68744,-1.41
49.68735,-93.68741,-1.46
49.68739,-93.68738,-1.73
49.68744,-93.68735,-1.96
49.68748,-93.68732,-2.17
49.68753,-93.68728,-2.34
49.68757,-93.68726,-2.53
49.68762,-93.68722,-2.57
49.68766,-93.68719,-2.64
49.68774,-93.68715,-2.45
49.68778,-93.68717,-2.8
49.68782,-93.68717,-3.44
49.68786,-93.68713,-2.43
49.68789,-93.68708,-2.72
49.68793,-93.68706,-2.85
49.68798,-93.68705,-2.78
49.68802,-93.68705,-2.95
49.68806,-93.68706,-2.85
49.68811,-93.68708,-2.89
49.68816,-93.6871,-2.95
49.6882,-93.68712,-2.68
49.68824,-93.68715,-2.34
49.68828,-93.68717,-2.17
49.68831,-93.68724,-2.38
49.6883,-93.6873,-3.46
49.68826,-93.68728,-3.88
49.68821,-93.68726,-4.41
49.68817,-93.68722,-3.21
49.68812,-93.68718,-3.14
49.68807,-93.68715,-3.44
49.68803,-93.68712,-3.21
49.68799,-93.68711,-3.12
49.68795,-93.6871,-3.1
49.6879,-93.68711,-2.55
49.68786,-93.68713,-2.53
49.68782,-93.68714,-2.64
49.68778,-93.68716,-2.51
49.68774,-93.68717,-2.43
49.6877,-93.68719,-2.49
49.68765,-93.68721,-2.68
49.68761,-93.68724,-2.49
49.68757,-93.68726,-2.57
49.68752,-93.68729,-2.13
49.68748,-93.68733,-1.79
49.68744,-93.68735,-1.54
49.6874,-93.68735,-1.12
49.68739,-93.68742,-1.46
49.68743,-93.68739,-1.98
49.68747,-93.68737,-2.09
49.68752,-93.68737,-3.21
49.68757,-93.68739,-2.74
49.68761,-93.68741,-3.35
49.68765,-93.68744,-3.39
49.6877,-93.68746,-4.39
49.68774,-93.68749,-5.23
49.68778,-93.68751,-5.78
49.68783,-93.68752,-6.05
49.68788,-93.68753,-6.26
49.68792,-93.68755,-6.39
49.68796,-93.68756,-6.47
49.68801,-93.68758,-6.5
49.68806,-93.68759,-6.5
49.6881,-93.68761,-6.47
49.68815,-93.68761,-6.47
49.68819,-93.68762,-6.37
49.68824,-93.68763,-6.24
49.68828,-93.68764,-6.09
49.68833,-93.68765,-5.86
49.68837,-93.68766,-5.44
49.68842,-93.68766,-5.04
49.68846,-93.68767,-3.5
49.68851,-93.68767,-3.86
49.68856,-93.68766,-3.08
49.6886,-93.68766,-3.21
49.68865,-93.68765,-2.89
49.6887,-93.68765,-3.04
49.68874,-93.68764,-2.74
49.68878,-93.68765,-2.36
49.68882,-93.68768,-2.42
49.68884,-93.68773,-2.45
49.68883,-93.68779,-2.19
49.68879,-93.68781,-2.47
49.68874,-93.68781,-2.7
49.68869,-93.68781,-3.18
49.68865,-93.6878,-4.32
49.68861,-93.68779,-4.6
49.68857,-93.68779,-3.42
49.68853,-93.68777,-3.42
49.68848,-93.68775,-4.87
49.68844,-93.68774,-5.31
49.6884,-93.68773,-5.71
49.68835,-93.68771,-5.93
49.68831,-93.6877,-6.11
49.68827,-93.6877,-6.31
49.68823,-93.68769,-6.52
49.68818,-93.68769,-6.56
49.68813,-93.68769,-6.66
49.68809,-93.68768,-6.79
49.68805,-93.68768,-6.75
49.68799,-93.68768,-6.83
49.68794,-93.68768,-6.73
49.68789,-93.68768,-6.77
49.68784,-93.68768,-6.68
49.6878,-93.68769,-6.64
49.68775,-93.68769,-6.45
49.68771,-93.6877,-6.2
49.68767,-93.6877,-6.09
49.68763,-93.6877,-5.76
49.68757,-93.6877,-5.04
49.68753,-93.68771,-4.37
49.68747,-93.68771,-3.52
49.68743,-93.68773,-4.03
49.68738,-93.68773,-2.91
49.68733,-93.68774,-2.97
49.68729,-93.68775,-2.59
49.68725,-93.68776,-2.3
49.6872,-93.68777,-1.83
49.68715,-93.68777,-1.39
49.68711,-93.68779,-1.14
49.68707,-93.68782,-0.91
49.68706,-93.68788,-0.86
49.68707,-93.68795,-0.82
49.68711,-93.68799,-1.12
49.68715,-93.688,-1.43
49.6872,-93.68801,-1.94
49.68724,-93.68802,-2.13
49.68729,-93.68804,-2.91
49.68733,-93.68805,-3.29
49.68738,-93.68805,-3.61
49.68743,-93.68806,-5.78
49.68747,-93.68807,-6.22
49.68751,-93.68808,-6.28
49.68756,-93.68809,-6.83
49.68761,-93.6881,-7.23
49.68767,-93.68811,-7.63
49.68771,-93.68811,-8.12
49.68775,-93.68812,-8.37
49.68781,-93.68812,-8.69
49.68785,-93.68813,-8.82
49.68789,-93.68813,-9.15
49.68795,-93.68814,-9.15
49.688,-93.68814,-9.13
49.68805,-93.68814,-9.21
49.6881,-93.68814,-9.07
49.68816,-93.68814,-9.07
49.6882,-93.68814,-8.81
49.68825,-93.68814,-8.62
49.68829,-93.68815,-8.33
49.68834,-93.68815,-7.84
49.6884,-93.68816,-7.4
49.68845,-93.68816,-7.06
49.6885,-93.68817,-6.75
49.68855,-93.68819,-6.33
49.68859,-93.6882,-6.05
49.68863,-93.68821,-5.5
49.68869,-93.68822,-5.42
49.68873,-93.68823,-3.71
49.68877,-93.68823,-4.39
49.68883,-93.68824,-3.01
49.68887,-93.68825,-2.55
49.68892,-93.68826,-2.38
49.68897,-93.68829,-2.23
49.689,-93.68834,-2
49.68899,-93.68842,-2.11
49.68896,-93.68849,-2.38
49.68891,-93.68851,-2.53
49.68887,-93.68852,-2.74
49.68883,-93.68851,-4.89
49.68878,-93.6885,-3.69
49.68873,-93.6885,-3.54
49.68869,-93.68848,-5.29
49.68865,-93.68847,-6.05
49.6886,-93.68845,-6.39
49.68856,-93.68843,-6.68
49.68852,-93.68841,-7.15
49.68847,-93.6884,-7.32
49.68843,-93.68839,-7.85
49.68838,-93.68837,-8.29
49.68834,-93.68835,-8.84
49.6883,-93.68834,-9.15
49.68826,-93.68832,-9.26
49.68821,-93.68831,-9.47
49.68817,-93.6883,-9.57
49.68812,-93.68829,-9.51
49.68808,-93.68828,-9.51
49.68803,-93.68827,-9.51
49.68799,-93.68826,-9.45
49.68794,-93.68825,-9.4
49.68789,-93.68825,-9.26
49.68785,-93.68825,-9.17
49.68781,-93.68824,-8.9
49.68776,-93.68824,-8.6
49.6877,-93.68824,-8.37
49.68765,-93.68824,-7.97
49.6876,-93.68824,-7.46
49.68754,-93.68824,-6.98
49.68749,-93.68824,-6.5
49.68745,-93.68824,-6.05
49.68739,-93.68824,-5.19
49.68733,-93.68824,-3.61
49.68728,-93.68825,-3.33
49.68724,-93.68825,-3.04
49.68718,-93.68826,-2.15
49.68713,-93.68826,-1.83
49.68709,-93.68827,-1.52
49.68704,-93.68828,-1.2
49.687,-93.68829,-1.01
49.68696,-93.68832,-1.01
49.68694,-93.68837,-0.8
49.68695,-93.68844,-0.97
49.68698,-93.68849,-1.08
49.68703,-93.68852,-1.16
49.68707,-93.68854,-1.77
49.68712,-93.68856,-2.3
49.68716,-93.68857,-2.26
49.6872,-93.68858,-2.76
49.68724,-93.68859,-2.8
49.68728,-93.68861,-2.72
49.68732,-93.68862,-3.56
49.68737,-93.68864,-4.64
49.68741,-93.68865,-5.69
49.68746,-93.68866,-6.01
49.6875,-93.68867,-6.66
49.68754,-93.68867,-7.06
49.68758,-93.68868,-7.47
49.68763,-93.6887,-7.78
49.68767,-93.68871,-8.37
49.68771,-93.68872,-8.77
49.68775,-93.68873,-9.19
49.68779,-93.68874,-9.68
49.68784,-93.68875,-10.25
49.68788,-93.68876,-10.71
49.68792,-93.68877,-10.48
49.68796,-93.68878,-10.44
49.68801,-93.68879,-10.59
49.68805,-93.68881,-10.46
49.68809,-93.68882,-10.75
49.68814,-93.68883,-10.52
49.68818,-93.68884,-10.44
49.68822,-93.68885,-10.44
49.68827,-93.68886,-11.07
49.68831,-93.68887,-10.35
49.68835,-93.68888,-10.18
49.6884,-93.68889,-9.93
49.68845,-93.68889,-8.77
49.6885,-93.6889,-8.01
49.68855,-93.6889,-7.36
49.68859,-93.6889,-6.87
49.68864,-93.6889,-6.31
49.68869,-93.68889,-5.76
49.68874,-93.68889,-4.93
49.68878,-93.68891,-3.52
49.68881,-93.68896,-3.82
49.68879,-93.68903,-3.84
49.68875,-93.689,-4.24
49.68871,-93.68897,-4.94
49.68867,-93.68895,-5.86
49.68863,-93.68894,-6.3
49.68858,-93.68894,-7.06
49.68853,-93.68895,-7.49
49.68848,-93.68897,-8.27
49.68844,-93.68899,-8.82
49.6884,-93.68901,-9.49
49.68835,-93.68903,-9.91
49.68831,-93.68904,-10.33
49.68826,-93.68905,-10.44
49.68821,-93.68906,-10.42
49.68816,-93.68906,-10.5
49.68812,-93.68907,-10.57
49.68807,-93.68907,-10.46
49.68803,-93.68907,-10.54
49.68798,-93.68906,-10.44
49.68793,-93.68906,-10.56
49.68789,-93.68905,-10.46
49.68785,-93.68904,-10.44
49.6878,-93.68903,-10.44
49.68775,-93.68903,-10.44
49.68771,-93.68903,-10.44
49.68766,-93.68901,-9.11
49.68761,-93.689,-8.65
49.68757,-93.689,-7.99
49.68752,-93.68899,-7.59
49.68748,-93.68898,-6.71
49.68743,-93.68897,-6.35
49.68739,-93.68895,-5.76
49.68734,-93.68894,-4.89
49.68729,-93.68894,-3.78
49.68725,-93.68893,-4.85
49.68721,-93.68892,-3.18
49.68716,-93.68891,-2.78
49.68711,-93.68891,-2.8
49.68705,-93.68891,-2.34
49.687,-93.68891,-1.9
49.68696,-93.6889,-1.26
49.68691,-93.6889,-1.14
49.68687,-93.68892,-1.01
49.68684,-93.68897,-0.76
49.68683,-93.68903,-0.93
49.68686,-93.6891,-1.08
49.68689,-93.68913,-1.2
49.68693,-93.68916,-1.39
49.68698,-93.68919,-1.69
49.68702,-93.6892,-2.09
49.68706,-93.68921,-2.66
49.68711,-93.68922,-2.49
49.68715,-93.68923,-2.64
49.6872,-93.68923,-3.58
49.68725,-93.68924,-5.5
49.68729,-93.68925,-3.61
49.68733,-93.68926,-4.93
49.68738,-93.68927,-5.65
49.68742,-93.68928,-6.41
49.68746,-93.68929,-7.04
49.68751,-93.68929,-7.55
49.68755,-93.6893,-8.14
49.6876,-93.6893,-8.69
49.68764,-93.68931,-9.19
49.68769,-93.68932,-9.62
49.68774,-93.68933,-10.04
49.68778,-93.68934,-10.21
49.68782,-93.68935,-10.33
49.68786,-93.68936,-10.42
49.68792,-93.68936,-10.4
49.68796,-93.68937,-10.23
49.688,-93.68938,-10.12
49.68805,-93.68938,-9.83
49.68809,-93.68938,-9.6
49.68814,-93.68938,-9.43
49.68819,-93.68938,-9.26
49.68824,-93.68938,-9.07
49.68829,-93.68938,-8.71
49.68834,-93.68938,-8.25
49.68838,-93.68938,-7.82
49.68842,-93.68937,-7.55
49.68847,-93.68936,-7.08
49.68852,-93.68936,-6.5
49.68857,-93.68939,-5.88
49.68859,-93.68947,-4.98
49.68856,-93.68953,-4.55
49.68852,-93.68956,-4.79
49.68847,-93.68956,-5.69
49.68843,-93.68955,-6.35
49.68839,-93.68953,-6.77
49.68834,-93.68953,-7.32
49.68829,-93.68953,-7.51
49.68824,-93.68953,-8.01
49.68819,-93.68953,-8.25
49.68814,-93.68954,-8.48
49.6881,-93.68955,-8.81
49.68805,-93.68955,-9.19
49.68799,-93.68955,-9.62
49.68795,-93.68954,-9.74
49.6879,-93.68954,-9.91
49.68785,-93.68954,-9.74
49.68781,-93.68955,-9.55
49.68776,-93.68955,-9.28
49.68771,-93.68955,-8.98
49.68765,-93.68955,-8.58
49.68761,-93.68955,-8.08
49.68756,-93.68955,-7.65
49.68751,-93.68956,-7.19
49.68746,-93.68956,-6.58
49.68741,-93.68956,-6.03
49.68737,-93.68958,-5.19
49.68732,-93.68959,-4.24
49.68727,-93.68959,-3.48
49.68722,-93.68959,-4.83
49.68718,-93.6896,-2.72
49.68712,-93.6896,-2.83
49.68707,-93.6896,-2.47
49.68702,-93.6896,-3.14
49.68697,-93.68958,-2.42
49.68693,-93.68959,-1.77
49.6869,-93.68963,-1.37
49.68689,-93.6897,-1.31
49.68688,-93.68976,-1.31
49.68687,-93.68983,-1.31
49.6869,-93.68989,-1.31
49.68694,-93.68991,-1.39
49.68699,-93.68991,-1.69
49.68704,-93.68992,-2.05
49.68708,-93.68993,-2.21
49.68713,-93.68993,-2.36
49.68718,-93.68994,-2.09
49.68723,-93.68994,-2.53
49.68729,-93.68995,-2.62
49.68734,-93.68995,-2.87
49.68739,-93.68995,-3.52
49.68745,-93.68995,-4.41
49.6875,-93.68995,-5.29
49.68755,-93.68995,-5.76
49.6876,-93.68995,-6.11
49.68765,-93.68995,-6.3
49.68771,-93.68995,-6.5
49.68776,-93.68995,-6.68
49.6878,-93.68994,-6.71
49.68785,-93.68994,-6.81
49.6879,-93.68993,-6.81
49.68794,-93.68992,-6.77
49.68798,-93.68991,-6.66
49.68803,-93.68991,-6.52
49.68807,-93.68989,-6.41
49.68811,-93.68987,-6.28
49.68816,-93.68986,-5.97
49.68821,-93.68985,-5.52
49.68826,-93.68984,-4.79
49.68831,-93.68983,-4.17
49.68836,-93.68983,-3.65
49.68841,-93.68983,-3.18
49.68845,-93.68984,-4.24
49.68849,-93.68986,-2.72
49.68852,-93.68991,-1.16
49.68848,-93.68995,-1.56
49.68844,-93.68997,-2.34
49.68839,-93.68997,-2.51
49.68834,-93.68998,-2.55
49.6883,-93.69,-2.93
49.68825,-93.69001,-2.99
49.6882,-93.69003,-3.48
49.68816,-93.69005,-3.71
49.68812,-93.69007,-3.94
49.68807,-93.69009,-4.18
49.68803,-93.6901,-4.41
49.68799,-93.69012,-4.56
49.68794,-93.69013,-4.68
49.6879,-93.69014,-4.98
49.68785,-93.69015,-4.87
49.68779,-93.69017,-5.02
49.68774,-93.69019,-4.91
49.6877,-93.6902,-4.64
49.68765,-93.69022,-4.07
49.68761,-93.69023,-3.75
49.68757,-93.69024,-3.42
49.68752,-93.69025,-5.36
49.68747,-93.69026,-4.77
49.68743,-93.69025,-2.87
49.68738,-93.69024,-2.53
49.68734,-93.69023,-2.36
49.6873,-93.69022,-2.4
49.68725,-93.69021,-2.66
49.6872,-93.6902,-2.36
49.68715,-93.69018,-2.07
49.68711,-93.69017,-2.04
49.68707,-93.69021,-1.54
49.68706,-93.69027,-1.46
49.68707,-93.69035,-1.52
49.68708,-93.69041,-1.12
49.68712,-93.69045,-1.08
49.68716,-93.69046,-1.48
49.68721,-93.69045,-1.46
49.68725,-93.69044,-1.81
49.68729,-93.69044,-1.75
49.68733,-93.69042,-1.81
49.68739,-93.69041,-2.02
49.68744,-93.6904,-2.7
49.68749,-93.6904,-2.76
49.68753,-93.69039,-3.02
49.68758,-93.69039,-2.93
49.68764,-93.69038,-2.62
49.6877,-93.69038,-3.02
49.68774,-93.69037,-3.12
49.68779,-93.69037,-2.61
49.68784,-93.69035,-2.62
49.68788,-93.69034,-2.78
49.68792,-93.69029,-2.66
49.68796,-93.69026,-3.04
49.688,-93.69021,-2.95
49.68804,-93.69017,-3.46
49.68808,-93.69013,-3.2
49.68812,-93.69009,-3.52
49.68817,-93.69009,-3.18
49.68816,-93.69016,-2.81
49.68811,-93.69018,-2.87
49.68806,-93.69019,-2.99
49.68802,-93.69022,-3.08
49.68798,-93.69026,-3.12
49.68794,-93.69029,-2.93
49.6879,-93.69034,-2.76
49.68787,-93.69038,-2.53
49.68783,-93.69044,-2.42
49.68779,-93.69048,-2.28
49.68776,-93.69053,-2.07
49.68771,-93.69057,-1.94
49.68767,-93.6906,-1.83
49.68763,-93.69061,-1.81
49.68757,-93.69062,-2.04
49.68753,-93.69061,-1.96
49.68747,-93.69059,-1.9
49.68743,-93.69058,-1.84
49.68739,-93.69056,-1.88
49.68734,-93.69057,-1.67
49.6873,-93.69059,-1.33
49.68726,-93.6906,-1.26
49.68722,-93.69061,-1.1
